Tên sản phẩm,Mã sản phẩm,Thương hiệu,Dung lượng (Ah),Điện áp (V),Kích thước (mm),Giá bán (VNĐ),Bảo hành (tháng),Xuất xứ,Loại xe sử dụng
Ắc quy GS N50,GS-N50,GS,50,12,260x173x225,1250000,12,Việt Nam,Ô tô con
Ắc quy GS N70,GS-N70,GS,70,12,305x173x225,1550000,12,Việt Nam,Ô tô tải nhỏ
Ắc quy GS MF 45-26,GS-MF4526,GS,45,12,238x129x227,950000,12,Việt Nam,Xe du lịch
Ắc quy Đồng Nai N150,DN-N150,Đồng Nai,150,12,505x220x255,3250000,12,Việt Nam,"Xe tải, xe bus"
Ắc quy Đồng Nai CMF50,DN-CMF50,Đồng Nai,50,12,260x173x225,1380000,12,Việt Nam,Xe du lịch
Ắc quy Panasonic 80D26L,PN-80D26L,Panasonic,65,12,260x173x225,1990000,18,Thái Lan,Ô tô con
Ắc quy Varta 12V-60Ah,VT-60AH,Varta,60,12,242x175x190,1850000,18,Đức,Ô tô hạng sang
Ắc quy Rocket SMF 100Ah,RC-SMF100,Rocket,100,12,303x173x225,2800000,18,Hàn Quốc,"Xe tải, xe bus"
Ắc quy Atlas MF75D23L,AT-MF75D23L,Atlas,65,12,232x173x225,1680000,18,Hàn Quốc,Ô tô con
Ắc quy GS MF 34B19L,GS-MF34B19L,GS,32,12,187x127x227,830000,12,Việt Nam,Ô tô cỡ nhỏ
Ắc quy Đồng Nai N120,DN-N120,Đồng Nai,120,12,505x182x255,2850000,12,Việt Nam,Xe tải
Ắc quy GS N100,GS-N100,GS,100,12,410x173x227,2390000,12,Việt Nam,Xe tải nhỏ
Ắc quy Panasonic 46B24R,PN-46B24R,Panasonic,45,12,238x129x227,1390000,18,Thái Lan,Xe du lịch
Ắc quy Atlas MF90D23L,AT-MF90D23L,Atlas,80,12,260x173x225,2170000,18,Hàn Quốc,Xe tải nhỏ
Ắc quy Rocket SMF 65Ah,RC-SMF65,Rocket,65,12,260x173x225,1850000,18,Hàn Quốc,Ô tô con
Ắc quy GS MF 55B24LS,GS-MF55B24L,GS,45,12,238x129x227,980000,12,Việt Nam,Xe du lịch
Ắc quy Varta 12V-100Ah,VT-100AH,Varta,100,12,353x175x190,2990000,18,Đức,"Xe tải, xe bus"
Ắc quy Đồng Nai CMF70,DN-CMF70,Đồng Nai,70,12,305x173x225,1690000,12,Việt Nam,Xe tải nhỏ
Ắc quy Panasonic 95D31L,PN-95D31L,Panasonic,90,12,303x173x225,2350000,18,Thái Lan,Xe tải nhỏ
Ắc quy GS MF 55B24R,GS-MF55B24R,GS,45,12,238x129x227,990000,12,Việt Nam,Xe du lịch
